metric,mean,std,n_seeds
M-TRACE Path Reconstruction Accuracy,0.8,0.27386127875258304,5
Bias Detection Rate,1.0,0.0,5
TreeSHAP Path Coverage,0.0,0.0,5
Inference Overhead (ms),14.306487444459242,22.445722081785824,5
Training Overhead (%),11.111111111111105,5.4025784115714076e-15,5
