metric,mean,std,n_seeds
M-TRACE Capture Rate,1.0,0.0,5
Fusion Insight Score,1.0,0.0,5
LIME Baseline,0.0,0.0,5
Inference Time (ms),17.104637145996094,0.12497054617649404,5
