metric,mean,std,n_seeds,ci_95_lower,ci_95_upper
M-TRACE Temporal Precision,1.0,0.0,5,1.0,1.0
SHAP Temporal Precision,0.0,0.0,5,0.0,0.0
M-TRACE Overhead (ms),1.0109360799469869,0.03180345639909497,5,0.9714468731177875,1.0504252867761863
M-TRACE Overhead (%),13.636363636363635,2.808666774861361e-15,5,13.636363636363631,13.636363636363638
