metric,mean,std,n_seeds
M-TRACE Causality Score,0.020936007249366468,0.07446492841679092,5
Captum Causality Score,0.14620350462826648,0.009876934271831088,5
Training Time (sec),90.62538217379915,0.33628473703241646,5
Overhead (%),17.64705882352942,2.5121479338940403e-15,5
Active Layers Analyzed,12.0,0.0,5
